"tienda","empresa","datef","Entry","Exit","ciudad","precip"
"2","Ficcus",2016-04-19,266,0,"vina",0
"2","Ficcus",2016-04-20,312,0,"vina",0
"2","Ficcus",2016-04-21,316,0,"vina",0
"2","Ficcus",2016-04-22,550,0,"vina",1
"2","Ficcus",2016-04-23,914,0,"vina",1
"2","Ficcus",2016-04-24,800,0,"vina",0
"2","Ficcus",2016-04-25,284,0,"vina",0
"2","Ficcus",2016-04-26,305,0,"vina",0
"2","Ficcus",2016-04-27,257,0,"vina",0
"2","Ficcus",2016-04-28,333,0,"vina",0
"2","Ficcus",2016-04-29,455,0,"vina",0
"2","Ficcus",2016-04-30,702,0,"vina",0
"2","Ficcus",2016-05-02,303,0,"vina",0
"2","Ficcus",2016-05-03,244,0,"vina",0
"2","Ficcus",2016-05-04,321,0,"vina",1
"2","Ficcus",2016-05-05,364,0,"vina",0
"2","Ficcus",2016-05-06,519,0,"vina",0
"2","Ficcus",2016-05-07,616,0,"vina",0
"2","Ficcus",2016-05-08,300,0,"vina",0
"2","Ficcus",2016-05-09,223,0,"vina",0
"2","Ficcus",2016-05-10,247,0,"vina",0
"2","Ficcus",2016-05-11,233,0,"vina",0
"2","Ficcus",2016-05-12,278,0,"vina",0
"2","Ficcus",2016-05-13,363,0,"vina",0
"2","Ficcus",2016-05-14,754,0,"vina",1
"2","Ficcus",2016-05-15,647,0,"vina",0
"2","Ficcus",2016-05-16,326,0,"vina",0
"2","Ficcus",2016-05-17,252,0,"vina",0
"2","Ficcus",2016-05-18,241,0,"vina",1
"2","Ficcus",2016-05-19,226,0,"vina",1
"2","Ficcus",2016-05-20,343,0,"vina",0
"2","Ficcus",2016-05-21,591,0,"vina",0
"2","Ficcus",2016-05-22,672,0,"vina",0
"2","Ficcus",2016-05-23,242,0,"vina",0
"2","Ficcus",2016-05-24,256,0,"vina",0
"2","Ficcus",2016-05-25,226,0,"vina",0
"2","Ficcus",2016-05-26,198,0,"vina",1
"2","Ficcus",2016-05-27,293,0,"vina",1
"2","Ficcus",2016-05-28,595,0,"vina",1
"2","Ficcus",2016-05-29,426,0,"vina",1
"2","Ficcus",2016-05-30,243,0,"vina",0
"2","Ficcus",2016-05-31,284,0,"vina",0
"2","Ficcus",2016-06-01,232,0,"vina",0
"2","Ficcus",2016-06-02,258,0,"vina",1
"2","Ficcus",2016-06-03,379,0,"vina",1
"2","Ficcus",2016-06-04,699,0,"vina",1
"2","Ficcus",2016-06-05,563,0,"vina",0
"2","Ficcus",2016-06-06,219,0,"vina",0
"2","Ficcus",2016-06-07,228,0,"vina",0
"2","Ficcus",2016-06-08,234,0,"vina",0
"2","Ficcus",2016-06-09,237,0,"vina",0
"2","Ficcus",2016-06-10,248,0,"vina",0
"2","Ficcus",2016-06-11,503,0,"vina",0
"2","Ficcus",2016-06-12,429,0,"vina",1
"2","Ficcus",2016-06-13,220,0,"vina",1
"2","Ficcus",2016-06-14,170,0,"vina",0
"2","Ficcus",2016-06-15,194,0,"vina",0
"2","Ficcus",2016-06-16,197,0,"vina",0
"2","Ficcus",2016-06-17,333,0,"vina",1
"2","Ficcus",2016-06-18,305,0,"vina",0
"2","Ficcus",2016-06-20,193,0,"vina",0
"2","Ficcus",2016-06-21,233,0,"vina",0
"2","Ficcus",2016-06-22,188,0,"vina",0
"2","Ficcus",2016-06-23,216,0,"vina",0
"2","Ficcus",2016-06-24,314,0,"vina",0
"2","Ficcus",2016-06-25,489,0,"vina",0
"2","Ficcus",2016-06-26,333,0,"vina",1
"2","Ficcus",2016-06-27,377,0,"vina",0
"2","Ficcus",2016-06-28,196,0,"vina",1
"2","Ficcus",2016-06-29,297,0,"vina",0
"2","Ficcus",2016-06-30,379,0,"vina",0
"2","Ficcus",2016-07-01,465,0,"vina",0
